INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../../../src/tb_mlp.cpp in debug mode
   Compiling ../../../../../src/mlp.cpp in debug mode
   Generating csim.exe
opening file: network_inputs_fullbatch.dat
opening file: theta1.dat
opening file: theta2.dat
opening file: network_outputs_fullbatch.dat

L1 weights matrix read in successfully

L2 weights matrix read in successfully

beginning test
i=0, digit=10, net=10
i=1040, digit=2, net=2
i=1041, digit=2, net=2
i=1042, digit=2, net=2
i=1043, digit=2, net=2
i=1044, digit=2, net=2
i=1045, digit=2, net=1
i=1046, digit=2, net=2
i=1047, digit=2, net=2
i=1048, digit=2, net=2
i=1049, digit=2, net=2
i=1050, digit=2, net=2
i=1051, digit=2, net=2
i=1052, digit=2, net=2
i=1053, digit=2, net=2
i=1054, digit=2, net=2
i=1055, digit=2, net=2
i=1056, digit=2, net=2
i=1057, digit=2, net=5
i=1058, digit=2, net=2
i=1059, digit=2, net=2
i=1060, digit=2, net=2
i=1061, digit=2, net=2
i=1062, digit=2, net=2
i=1063, digit=2, net=2
i=1064, digit=2, net=2
i=1065, digit=2, net=2
i=1066, digit=2, net=2
i=1067, digit=2, net=2
i=1068, digit=2, net=2
i=1069, digit=2, net=2
i=1070, digit=2, net=2
i=1071, digit=2, net=2
i=1072, digit=2, net=2
i=1073, digit=2, net=2
i=1074, digit=2, net=2
i=1075, digit=2, net=2
i=1076, digit=2, net=2
i=1077, digit=2, net=2
i=1078, digit=2, net=2
i=1079, digit=2, net=2
i=1080, digit=2, net=2
i=1081, digit=2, net=2
i=1082, digit=2, net=2
i=1083, digit=2, net=2
i=1084, digit=2, net=2
i=1085, digit=2, net=2
i=1086, digit=2, net=2
i=1087, digit=2, net=9
i=1088, digit=2, net=2
i=1089, digit=2, net=2
i=1090, digit=2, net=2
i=1091, digit=2, net=2
i=1092, digit=2, net=2
i=1093, digit=2, net=2
i=1094, digit=2, net=2
i=1095, digit=2, net=2
i=1096, digit=2, net=2
i=1097, digit=2, net=2
i=1098, digit=2, net=2
i=1099, digit=2, net=2
i=1100, digit=2, net=2
i=1101, digit=2, net=2
i=1102, digit=2, net=2
i=1103, digit=2, net=2
i=1104, digit=2, net=2
i=1105, digit=2, net=2
i=1106, digit=2, net=2
i=1107, digit=2, net=2
i=1108, digit=2, net=2
i=1109, digit=2, net=2
i=1110, digit=2, net=2
i=1111, digit=2, net=2
i=1112, digit=2, net=2
i=1113, digit=2, net=2
i=1114, digit=2, net=2
i=1115, digit=2, net=2
i=1116, digit=2, net=2
i=1117, digit=2, net=2
i=1118, digit=2, net=2
i=1119, digit=2, net=2
i=1120, digit=2, net=2
i=1121, digit=2, net=2
i=1122, digit=2, net=2
i=1123, digit=2, net=2
i=1124, digit=2, net=2
i=1125, digit=2, net=2
i=1126, digit=2, net=2
i=1127, digit=2, net=2
i=1128, digit=2, net=2
i=1129, digit=2, net=2
i=1130, digit=2, net=2
i=1131, digit=2, net=2
i=1132, digit=2, net=2
i=1133, digit=2, net=2
i=1134, digit=2, net=2
i=1135, digit=2, net=2
i=1136, digit=2, net=2
i=1137, digit=2, net=2
i=1138, digit=2, net=2
i=1139, digit=2, net=2
i=1140, digit=2, net=2
i=1141, digit=2, net=2
i=1142, digit=2, net=2
i=1143, digit=2, net=2
i=1144, digit=2, net=2
i=1145, digit=2, net=2
i=1146, digit=2, net=2
i=1147, digit=2, net=2
i=1148, digit=2, net=2
i=1149, digit=2, net=2
i=1150, digit=2, net=2
i=1151, digit=2, net=2
i=1152, digit=2, net=2
i=1153, digit=2, net=4
i=1154, digit=2, net=2
i=1155, digit=2, net=2
i=1156, digit=2, net=2
i=1157, digit=2, net=2
i=1158, digit=2, net=2
i=1159, digit=2, net=2
i=1160, digit=2, net=2
i=1161, digit=2, net=2
i=1162, digit=2, net=2
i=1163, digit=2, net=2
i=1164, digit=2, net=2
i=1165, digit=2, net=2
i=1166, digit=2, net=2
i=1167, digit=2, net=2
i=1168, digit=2, net=2
i=1169, digit=2, net=2
i=1170, digit=2, net=2
i=1171, digit=2, net=2
i=1172, digit=2, net=2
i=1173, digit=2, net=2
i=1174, digit=2, net=2
i=1175, digit=2, net=2
i=1176, digit=2, net=2
i=1177, digit=2, net=2
i=1178, digit=2, net=2
i=1179, digit=2, net=2
i=1180, digit=2, net=2
i=1181, digit=2, net=2
i=1182, digit=2, net=2
i=1183, digit=2, net=2
i=1184, digit=2, net=2
i=1185, digit=2, net=2
i=1186, digit=2, net=2
i=1187, digit=2, net=2
i=1188, digit=2, net=2
i=1189, digit=2, net=8
i=1190, digit=2, net=2
i=1191, digit=2, net=2
i=1192, digit=2, net=2
i=1193, digit=2, net=2
i=1194, digit=2, net=2
i=1195, digit=2, net=2
i=1196, digit=2, net=2
i=1197, digit=2, net=2
i=1198, digit=2, net=2
i=1199, digit=2, net=2
i=1200, digit=2, net=2
i=1201, digit=2, net=2
i=1202, digit=2, net=2
i=1203, digit=2, net=2
i=1204, digit=2, net=2
i=1205, digit=2, net=2
i=1206, digit=2, net=2
i=1207, digit=2, net=2
i=1208, digit=2, net=2
i=1209, digit=2, net=2
i=1210, digit=2, net=2
i=1211, digit=2, net=2
i=1212, digit=2, net=2
i=1213, digit=2, net=10
i=1214, digit=2, net=2
i=1215, digit=2, net=2
i=1216, digit=2, net=2
i=1217, digit=2, net=2
i=1218, digit=2, net=2
i=1219, digit=2, net=2
i=1220, digit=2, net=2
i=1221, digit=2, net=2
i=1222, digit=2, net=2
i=1223, digit=2, net=2
i=1224, digit=2, net=2
i=1225, digit=2, net=2
i=1226, digit=2, net=2
i=1227, digit=2, net=2
i=1228, digit=2, net=2
i=1229, digit=2, net=2
i=1230, digit=2, net=2
i=1231, digit=2, net=2
i=1232, digit=2, net=2
i=1233, digit=2, net=2
i=1234, digit=2, net=2
i=1235, digit=2, net=2
i=1236, digit=2, net=2
i=1237, digit=2, net=2
i=1238, digit=2, net=2
i=1239, digit=2, net=2
i=1240, digit=2, net=2
i=1241, digit=2, net=2
i=1242, digit=2, net=2
i=1243, digit=2, net=2
i=1244, digit=2, net=2
i=1245, digit=2, net=2
i=1246, digit=2, net=2
i=1247, digit=2, net=2
i=1248, digit=2, net=2
i=1249, digit=2, net=2
i=1250, digit=2, net=2
i=1251, digit=2, net=2
i=1252, digit=2, net=2
i=1253, digit=2, net=2
i=1254, digit=2, net=2
i=1255, digit=2, net=2
i=1256, digit=2, net=2
i=1257, digit=2, net=2
i=1258, digit=2, net=2
i=1259, digit=2, net=2
i=1260, digit=2, net=2
i=1261, digit=2, net=2
i=1262, digit=2, net=2
i=1263, digit=2, net=2
i=1264, digit=2, net=2
i=1265, digit=2, net=2
i=1266, digit=2, net=2
i=1267, digit=2, net=2
i=1268, digit=2, net=2
i=1269, digit=2, net=2
i=1270, digit=2, net=2
i=1271, digit=2, net=2
i=1272, digit=2, net=2
i=1273, digit=2, net=2
i=1274, digit=2, net=2
i=1275, digit=2, net=2
i=1276, digit=2, net=2
i=1277, digit=2, net=2
i=1278, digit=2, net=2
i=1279, digit=2, net=2
i=1280, digit=2, net=2
i=1281, digit=2, net=2
i=1282, digit=2, net=2
i=1283, digit=2, net=2
i=1284, digit=2, net=2
i=1285, digit=2, net=2
i=1286, digit=2, net=2
i=1287, digit=2, net=2
i=1288, digit=2, net=2
i=1289, digit=2, net=2
i=1290, digit=2, net=2
i=1291, digit=2, net=2
i=1292, digit=2, net=2
i=1293, digit=2, net=2
i=1294, digit=2, net=2
i=1295, digit=2, net=2
i=1296, digit=2, net=2
i=1297, digit=2, net=2
i=1298, digit=2, net=2
i=1299, digit=2, net=2
i=1300, digit=2, net=2
i=1301, digit=2, net=2
i=1302, digit=2, net=2
i=1303, digit=2, net=2
i=1304, digit=2, net=2
i=1305, digit=2, net=2
i=1306, digit=2, net=2
i=1307, digit=2, net=2
i=1308, digit=2, net=2
i=1309, digit=2, net=2
i=1310, digit=2, net=2
i=1311, digit=2, net=2
i=1312, digit=2, net=2
i=1313, digit=2, net=2
i=1314, digit=2, net=2
i=1315, digit=2, net=2
i=1316, digit=2, net=2
i=1317, digit=2, net=2
i=1318, digit=2, net=2
i=1319, digit=2, net=2
i=1320, digit=2, net=2
i=1321, digit=2, net=2
i=1322, digit=2, net=2
i=1323, digit=2, net=2
i=1324, digit=2, net=2
i=1325, digit=2, net=2
i=1326, digit=2, net=2
i=1327, digit=2, net=2
i=1328, digit=2, net=2
i=1329, digit=2, net=2
i=1330, digit=2, net=2
i=1331, digit=2, net=2
i=1332, digit=2, net=2
i=1333, digit=2, net=2
i=1334, digit=2, net=2
i=1335, digit=2, net=2
i=1336, digit=2, net=2
i=1337, digit=2, net=2
i=1338, digit=2, net=2
i=1339, digit=2, net=2
i=1340, digit=2, net=2
i=1341, digit=2, net=2
i=1342, digit=2, net=2
i=1343, digit=2, net=2
i=1344, digit=2, net=2
i=1345, digit=2, net=2
i=1346, digit=2, net=2
i=1347, digit=2, net=2
i=1348, digit=2, net=2
i=1349, digit=2, net=2
i=1350, digit=2, net=2
i=1351, digit=2, net=2
i=1352, digit=2, net=2
i=1353, digit=2, net=2
i=1354, digit=2, net=2
i=1355, digit=2, net=2
i=1356, digit=2, net=2
i=1357, digit=2, net=2
i=1358, digit=2, net=2
i=1359, digit=2, net=2
i=1360, digit=2, net=2
i=1361, digit=2, net=2
i=1362, digit=2, net=2
i=1363, digit=2, net=4
i=1364, digit=2, net=2
i=1365, digit=2, net=2
i=1366, digit=2, net=2
i=1367, digit=2, net=2
i=1368, digit=2, net=2
i=1369, digit=2, net=2
i=1370, digit=2, net=2
i=1371, digit=2, net=2
i=1372, digit=2, net=2
i=1373, digit=2, net=2
i=1374, digit=2, net=2
i=1375, digit=2, net=2
i=1376, digit=2, net=2
i=1377, digit=2, net=2
i=1378, digit=2, net=2
i=1379, digit=2, net=2
i=1380, digit=2, net=2
i=1381, digit=2, net=2
i=1382, digit=2, net=2
i=1383, digit=2, net=2
i=1384, digit=2, net=2
i=1385, digit=2, net=2
i=1386, digit=2, net=2
i=1387, digit=2, net=2
i=1388, digit=2, net=2
i=1389, digit=2, net=2
i=1390, digit=2, net=2
i=1391, digit=2, net=2
i=1392, digit=2, net=2
i=1393, digit=2, net=2
i=1394, digit=2, net=2
i=1395, digit=2, net=2
i=1396, digit=2, net=2
i=1397, digit=2, net=2
i=1398, digit=2, net=2
i=1399, digit=2, net=8
i=1400, digit=2, net=2
i=1401, digit=2, net=2
i=1402, digit=2, net=2
i=1403, digit=2, net=2
i=1404, digit=2, net=2
i=1405, digit=2, net=2
i=1406, digit=2, net=6
i=1407, digit=2, net=2
i=1408, digit=2, net=6
i=1409, digit=2, net=2
i=1410, digit=2, net=2
i=1411, digit=2, net=2
i=1412, digit=2, net=2
i=1413, digit=2, net=4
i=1414, digit=2, net=2
i=1415, digit=2, net=2
i=1416, digit=2, net=2
i=1417, digit=2, net=2
i=1418, digit=2, net=2
i=1419, digit=2, net=2
i=1420, digit=2, net=2
i=1421, digit=2, net=2
i=1422, digit=2, net=2
i=1423, digit=2, net=8
i=1424, digit=2, net=2
i=1425, digit=2, net=2
i=1426, digit=2, net=2
i=1427, digit=2, net=2
i=1428, digit=2, net=2
i=1429, digit=2, net=2
i=1430, digit=2, net=2
i=1431, digit=2, net=2
i=1432, digit=2, net=2
i=1433, digit=2, net=2
i=1434, digit=2, net=2
i=1435, digit=2, net=2
i=1436, digit=2, net=2
i=1437, digit=2, net=2
i=1438, digit=2, net=2
i=1439, digit=2, net=2
i=1440, digit=2, net=1
i=1441, digit=2, net=2
i=1442, digit=2, net=2
i=1443, digit=2, net=2
i=1444, digit=2, net=2
i=1445, digit=2, net=2
i=1446, digit=2, net=2
i=1447, digit=2, net=2
i=1448, digit=2, net=2
i=1449, digit=2, net=2
i=1450, digit=2, net=2
i=1451, digit=2, net=2
i=1452, digit=2, net=2
i=1453, digit=2, net=2
i=1454, digit=2, net=2
i=1455, digit=2, net=2
i=1456, digit=2, net=2
i=1457, digit=2, net=2
i=1458, digit=2, net=2
i=1459, digit=2, net=2
i=1460, digit=2, net=2
i=1461, digit=2, net=2
i=1462, digit=2, net=2
i=1463, digit=2, net=2
i=1464, digit=2, net=2
i=1465, digit=2, net=2
i=1466, digit=2, net=2
i=1467, digit=2, net=2
i=1468, digit=2, net=2
i=1469, digit=2, net=2
i=1470, digit=2, net=2
i=1471, digit=2, net=2
i=1472, digit=2, net=2
i=1473, digit=2, net=2
i=1474, digit=2, net=2
i=1475, digit=2, net=2
i=1476, digit=2, net=2
i=1477, digit=2, net=2
i=1478, digit=2, net=2
i=1479, digit=2, net=2
i=1480, digit=2, net=2
i=1481, digit=2, net=2
i=1482, digit=2, net=2
i=1483, digit=2, net=2
i=1484, digit=2, net=10
i=1485, digit=2, net=2
i=1486, digit=2, net=2
i=1487, digit=2, net=2
i=1488, digit=2, net=2
i=1489, digit=2, net=2
i=1490, digit=2, net=2
i=1491, digit=2, net=2
i=1492, digit=2, net=2
i=1493, digit=2, net=2
i=1494, digit=2, net=10
i=1495, digit=2, net=2
i=1496, digit=2, net=2
i=1497, digit=2, net=2
i=1498, digit=2, net=2
i=1499, digit=2, net=2
i=1500, digit=3, net=3
i=1501, digit=3, net=3
i=1502, digit=3, net=3
i=1503, digit=3, net=3
i=1504, digit=3, net=3
i=1505, digit=3, net=3
i=1506, digit=3, net=3
i=1507, digit=3, net=3
i=1508, digit=3, net=3
i=1509, digit=3, net=3
i=1510, digit=3, net=3
i=1511, digit=3, net=3
i=1512, digit=3, net=3
i=1513, digit=3, net=3
i=1514, digit=3, net=3
i=1515, digit=3, net=3
i=1516, digit=3, net=3
i=1517, digit=3, net=3
i=1518, digit=3, net=3
i=1519, digit=3, net=3
i=1520, digit=3, net=3
i=1521, digit=3, net=3
i=1522, digit=3, net=3
i=1523, digit=3, net=3
i=1524, digit=3, net=5
i=1525, digit=3, net=3
i=1526, digit=3, net=3
i=1527, digit=3, net=3
i=1528, digit=3, net=3
i=1529, digit=3, net=3
i=1530, digit=3, net=3
i=1531, digit=3, net=3
i=1532, digit=3, net=3
i=1533, digit=3, net=3
i=1534, digit=3, net=3
i=1535, digit=3, net=3
i=1536, digit=3, net=3
i=1537, digit=3, net=3
i=1538, digit=3, net=3
i=1539, digit=3, net=3
i=1540, digit=3, net=3
i=1541, digit=3, net=3
i=1542, digit=3, net=3
i=1543, digit=3, net=3
i=1544, digit=3, net=3
i=1545, digit=3, net=3
i=1546, digit=3, net=3
i=1547, digit=3, net=3
i=1548, digit=3, net=3
i=1549, digit=3, net=3
i=1550, digit=3, net=7
i=1551, digit=3, net=3
i=1552, digit=3, net=3
i=1553, digit=3, net=3
i=1554, digit=3, net=3
i=1555, digit=3, net=3
i=1556, digit=3, net=3
i=1557, digit=3, net=3
i=1558, digit=3, net=3
i=1559, digit=3, net=3
i=1560, digit=3, net=3
i=1561, digit=3, net=3
i=1562, digit=3, net=3
i=1563, digit=3, net=3
i=1564, digit=3, net=2
i=1565, digit=3, net=3
i=1566, digit=3, net=3
i=1567, digit=3, net=3
i=1568, digit=3, net=3
i=1569, digit=3, net=3
i=1570, digit=3, net=3
i=1571, digit=3, net=3
i=1572, digit=3, net=3
i=1573, digit=3, net=3
i=1574, digit=3, net=3
i=1575, digit=3, net=3
i=1576, digit=3, net=3
i=1577, digit=3, net=3
i=1578, digit=3, net=3
i=1579, digit=3, net=3
i=1580, digit=3, net=3
i=1581, digit=3, net=3
i=1582, digit=3, net=3
i=1583, digit=3, net=3
i=1584, digit=3, net=3
i=1585, digit=3, net=3
i=1586, digit=3, net=3
i=1587, digit=3, net=3
i=1588, digit=3, net=6
i=1589, digit=3, net=3
i=1590, digit=3, net=3
i=1591, digit=3, net=3
i=1592, digit=3, net=3
i=1593, digit=3, net=3
i=1594, digit=3, net=3
i=1595, digit=3, net=3
i=1596, digit=3, net=3
i=1597, digit=3, net=3
i=1598, digit=3, net=3
i=1599, digit=3, net=2
i=1600, digit=3, net=3
i=1601, digit=3, net=3
i=1602, digit=3, net=3
i=1603, digit=3, net=3
i=1604, digit=3, net=3
i=1605, digit=3, net=3
i=1606, digit=3, net=3
i=1607, digit=3, net=3
i=1608, digit=3, net=3
i=1609, digit=3, net=3
i=1610, digit=3, net=3
i=1611, digit=3, net=8
i=1612, digit=3, net=3
i=1613, digit=3, net=3
i=1614, digit=3, net=3
i=1615, digit=3, net=3
i=1616, digit=3, net=3
i=1617, digit=3, net=9
i=1618, digit=3, net=3
i=1619, digit=3, net=3
i=1620, digit=3, net=3
i=1621, digit=3, net=3
i=1622, digit=3, net=3
i=1623, digit=3, net=3
i=1624, digit=3, net=3
i=1625, digit=3, net=3
i=1626, digit=3, net=3
i=1627, digit=3, net=3
i=1628, digit=3, net=3
i=1629, digit=3, net=3
i=1630, digit=3, net=5
i=1631, digit=3, net=3
i=1632, digit=3, net=3
i=1633, digit=3, net=3
i=1634, digit=3, net=3
i=1635, digit=3, net=3
i=1636, digit=3, net=3
i=1637, digit=3, net=3
i=1638, digit=3, net=3
i=1639, digit=3, net=3
i=1640, digit=3, net=3
i=1641, digit=3, net=3
i=1642, digit=3, net=3
i=1643, digit=3, net=3
i=1644, digit=3, net=3
i=1645, digit=3, net=3
i=1646, digit=3, net=3
i=1647, digit=3, net=3
i=1648, digit=3, net=3
i=1649, digit=3, net=3
i=1650, digit=3, net=3
i=1651, digit=3, net=3
i=1652, digit=3, net=3
i=1653, digit=3, net=3
i=1654, digit=3, net=3
i=1655, digit=3, net=3
i=1656, digit=3, net=3
i=1657, digit=3, net=3
i=1658, digit=3, net=3
i=1659, digit=3, net=3
i=1660, digit=3, net=3
i=1661, digit=3, net=3
i=1662, digit=3, net=3
i=1663, digit=3, net=3
i=1664, digit=3, net=3
i=1665, digit=3, net=3
i=1666, digit=3, net=3
i=1667, digit=3, net=3
i=1668, digit=3, net=3
i=1669, digit=3, net=3
i=1670, digit=3, net=3
i=1671, digit=3, net=3
i=1672, digit=3, net=3
i=1673, digit=3, net=3
i=1674, digit=3, net=3
i=1675, digit=3, net=3
i=1676, digit=3, net=3
i=1677, digit=3, net=3
i=1678, digit=3, net=3
i=1679, digit=3, net=3
i=1680, digit=3, net=3
i=1681, digit=3, net=3
i=1682, digit=3, net=3
i=1683, digit=3, net=3
i=1684, digit=3, net=3
i=1685, digit=3, net=3
i=1686, digit=3, net=3
i=1687, digit=3, net=3
i=1688, digit=3, net=3
i=1689, digit=3, net=3
i=1690, digit=3, net=3
i=1691, digit=3, net=3
i=1692, digit=3, net=3
i=1693, digit=3, net=3
i=1694, digit=3, net=3
i=1695, digit=3, net=3
i=1696, digit=3, net=3
i=1697, digit=3, net=3
i=1698, digit=3, net=3
i=1699, digit=3, net=3
i=1700, digit=3, net=5
i=1701, digit=3, net=7
i=1702, digit=3, net=3
i=1703, digit=3, net=3
i=1704, digit=3, net=3
i=1705, digit=3, net=3
i=1706, digit=3, net=3
i=1707, digit=3, net=1
i=1708, digit=3, net=3
i=1709, digit=3, net=3
i=1710, digit=3, net=3
i=1711, digit=3, net=3
i=1712, digit=3, net=3
i=1713, digit=3, net=3
i=1714, digit=3, net=3
i=1715, digit=3, net=3
i=1716, digit=3, net=3
i=1717, digit=3, net=3
i=1718, digit=3, net=3
i=1719, digit=3, net=3
i=1720, digit=3, net=3
i=1721, digit=3, net=3
i=1722, digit=3, net=3
i=1723, digit=3, net=3
i=1724, digit=3, net=3
i=1725, digit=3, net=3
i=1726, digit=3, net=3
i=1727, digit=3, net=3
i=1728, digit=3, net=3
i=1729, digit=3, net=3
i=1730, digit=3, net=3
i=1731, digit=3, net=3
i=1732, digit=3, net=3
i=1733, digit=3, net=3
i=1734, digit=3, net=3
i=1735, digit=3, net=3
i=1736, digit=3, net=3
i=1737, digit=3, net=3
i=1738, digit=3, net=3
i=1739, digit=3, net=3
i=1740, digit=3, net=3
i=1741, digit=3, net=3
i=1742, digit=3, net=3
i=1743, digit=3, net=3
i=1744, digit=3, net=3
i=1745, digit=3, net=3
i=1746, digit=3, net=3
i=1747, digit=3, net=3
i=1748, digit=3, net=3
i=1749, digit=3, net=3
i=1750, digit=3, net=3
i=1751, digit=3, net=3
i=1752, digit=3, net=3
i=1753, digit=3, net=3
i=1754, digit=3, net=3
i=1755, digit=3, net=3
i=1756, digit=3, net=3
i=1757, digit=3, net=3
i=1758, digit=3, net=3
i=1759, digit=3, net=3
i=1760, digit=3, net=3
i=1761, digit=3, net=3
i=1762, digit=3, net=3
i=1763, digit=3, net=3
i=1764, digit=3, net=7
i=1765, digit=3, net=3
i=1766, digit=3, net=5
i=1767, digit=3, net=3
i=1768, digit=3, net=3
i=1769, digit=3, net=3
i=1770, digit=3, net=3
i=1771, digit=3, net=3
i=1772, digit=3, net=3
i=1773, digit=3, net=3
i=1774, digit=3, net=3
i=1775, digit=3, net=3
i=1776, digit=3, net=6
i=1777, digit=3, net=3
i=1778, digit=3, net=3
i=1779, digit=3, net=3
i=1780, digit=3, net=3
i=1781, digit=3, net=3
i=1782, digit=3, net=3
i=1783, digit=3, net=3
i=1784, digit=3, net=3
i=1785, digit=3, net=3
i=1786, digit=3, net=3
i=1787, digit=3, net=3
i=1788, digit=3, net=3
i=1789, digit=3, net=3
i=1790, digit=3, net=3
i=1791, digit=3, net=3
i=1792, digit=3, net=3
i=1793, digit=3, net=3
i=1794, digit=3, net=3
i=1795, digit=3, net=3
i=1796, digit=3, net=3
i=1797, digit=3, net=3
i=1798, digit=3, net=5
i=1799, digit=3, net=3
i=1800, digit=3, net=3
i=1801, digit=3, net=3
i=1802, digit=3, net=3
i=1803, digit=3, net=3
i=1804, digit=3, net=3
i=1805, digit=3, net=3
i=1806, digit=3, net=3
i=1807, digit=3, net=3
i=1808, digit=3, net=3
i=1809, digit=3, net=3
i=1810, digit=3, net=3
i=1811, digit=3, net=3
i=1812, digit=3, net=3
i=1813, digit=3, net=3
i=1814, digit=3, net=3
i=1815, digit=3, net=3
i=1816, digit=3, net=3
i=1817, digit=3, net=3
i=1818, digit=3, net=3
i=1819, digit=3, net=3
i=1820, digit=3, net=3
i=1821, digit=3, net=3
i=1822, digit=3, net=3
i=1823, digit=3, net=3
i=1824, digit=3, net=3
i=1825, digit=3, net=3
i=1826, digit=3, net=3
i=1827, digit=3, net=3
i=1828, digit=3, net=3
i=1829, digit=3, net=3
i=1830, digit=3, net=3
i=1831, digit=3, net=3
i=1832, digit=3, net=3
i=1833, digit=3, net=3
i=1834, digit=3, net=3
i=1835, digit=3, net=3
i=1836, digit=3, net=3
i=1837, digit=3, net=3
i=1838, digit=3, net=3
i=1839, digit=3, net=3
i=1840, digit=3, net=3
i=1841, digit=3, net=3
i=1842, digit=3, net=3
i=1843, digit=3, net=3
i=1844, digit=3, net=3
i=1845, digit=3, net=3
i=1846, digit=3, net=3
i=1847, digit=3, net=3
i=1848, digit=3, net=3
i=1849, digit=3, net=3
i=1850, digit=3, net=3
i=1851, digit=3, net=3
i=1852, digit=3, net=3
i=1853, digit=3, net=3
i=1854, digit=3, net=3
i=1855, digit=3, net=3
i=1856, digit=3, net=3
i=1857, digit=3, net=3
i=1858, digit=3, net=3
i=1859, digit=3, net=3
i=1860, digit=3, net=3
i=1861, digit=3, net=3
i=1862, digit=3, net=3
i=1863, digit=3, net=3
i=1864, digit=3, net=3
i=1865, digit=3, net=3
i=1866, digit=3, net=3
i=1867, digit=3, net=3
i=1868, digit=3, net=3
i=1869, digit=3, net=3
i=1870, digit=3, net=3
i=1871, digit=3, net=3
i=1872, digit=3, net=3
i=1873, digit=3, net=3
i=1874, digit=3, net=3
i=1875, digit=3, net=3
i=1876, digit=3, net=3
i=1877, digit=3, net=3
i=1878, digit=3, net=3
i=1879, digit=3, net=3
i=1880, digit=3, net=3
i=1881, digit=3, net=3
i=1882, digit=3, net=3
i=1883, digit=3, net=3
i=1884, digit=3, net=3
i=1885, digit=3, net=3
i=1886, digit=3, net=3
i=1887, digit=3, net=3
i=1888, digit=3, net=3
i=1889, digit=3, net=3
i=1890, digit=3, net=3
i=1891, digit=3, net=3
i=1892, digit=3, net=3
i=1893, digit=3, net=3
i=1894, digit=3, net=3
i=1895, digit=3, net=3
i=1896, digit=3, net=3
i=1897, digit=3, net=3
i=1898, digit=3, net=3
i=1899, digit=3, net=3
i=1900, digit=3, net=3
i=1901, digit=3, net=3
i=1902, digit=3, net=3
i=1903, digit=3, net=3
i=1904, digit=3, net=3
i=1905, digit=3, net=5
i=1906, digit=3, net=3
i=1907, digit=3, net=3
i=1908, digit=3, net=3
i=1909, digit=3, net=3
i=1910, digit=3, net=3
i=1911, digit=3, net=3
i=1912, digit=3, net=3
i=1913, digit=3, net=3
i=1914, digit=3, net=3
i=1915, digit=3, net=3
i=1916, digit=3, net=3
i=1917, digit=3, net=3
i=1918, digit=3, net=3
i=1919, digit=3, net=3
i=1920, digit=3, net=3
i=1921, digit=3, net=3
i=1922, digit=3, net=3
i=1923, digit=3, net=9
i=1924, digit=3, net=3
i=1925, digit=3, net=3
i=1926, digit=3, net=3
i=1927, digit=3, net=3
i=1928, digit=3, net=3
i=1929, digit=3, net=3
i=1930, digit=3, net=3
i=1931, digit=3, net=3
i=1932, digit=3, net=3
i=1933, digit=3, net=3
i=1934, digit=3, net=3
i=1935, digit=3, net=3
i=1936, digit=3, net=3
i=1937, digit=3, net=3
i=1938, digit=3, net=3
i=1939, digit=3, net=3
i=1940, digit=3, net=3
i=1941, digit=3, net=3
i=1942, digit=3, net=3
i=1943, digit=3, net=3
i=1944, digit=3, net=3
i=1945, digit=3, net=3
i=1946, digit=3, net=3
i=1947, digit=3, net=3
i=1948, digit=3, net=3
i=1949, digit=3, net=3
i=1950, digit=3, net=3
i=1951, digit=3, net=3
i=1952, digit=3, net=3
i=1953, digit=3, net=3
i=1954, digit=3, net=3
i=1955, digit=3, net=3
i=1956, digit=3, net=3
i=1957, digit=3, net=3
i=1958, digit=3, net=3
i=1959, digit=3, net=1
i=1960, digit=3, net=3
i=1961, digit=3, net=3
i=1962, digit=3, net=3
i=1963, digit=3, net=3
i=1964, digit=3, net=3
i=1965, digit=3, net=3
i=1966, digit=3, net=3
i=1967, digit=3, net=3
i=1968, digit=3, net=3
i=1969, digit=3, net=3
i=1970, digit=3, net=7
i=1971, digit=3, net=3
i=1972, digit=3, net=3
i=1973, digit=3, net=3
i=1974, digit=3, net=3
i=1975, digit=3, net=3
i=1976, digit=3, net=5
i=1977, digit=3, net=3
i=1978, digit=3, net=3
i=1979, digit=3, net=3
i=1980, digit=3, net=3
i=1981, digit=3, net=3
i=1982, digit=3, net=3
i=1983, digit=3, net=3
i=1984, digit=3, net=3
i=1985, digit=3, net=3
i=1986, digit=3, net=3
i=1987, digit=3, net=3
i=1988, digit=3, net=3
i=1989, digit=3, net=3
i=1990, digit=3, net=3
i=1991, digit=3, net=3
i=1992, digit=3, net=3
i=1993, digit=3, net=3
i=1994, digit=3, net=3
i=1995, digit=3, net=3
i=1996, digit=3, net=3
i=1997, digit=3, net=3
i=1998, digit=3, net=3
i=1999, digit=3, net=3
i=2000, digit=4, net=4
i=2001, digit=4, net=4
i=2002, digit=4, net=4
i=2003, digit=4, net=4
i=2004, digit=4, net=4
i=2005, digit=4, net=4
i=2006, digit=4, net=4
i=2007, digit=4, net=4
i=2008, digit=4, net=4
i=2009, digit=4, net=4
i=2010, digit=4, net=4
i=2011, digit=4, net=4
i=2012, digit=4, net=4
i=2013, digit=4, net=4
i=2014, digit=4, net=4
i=2015, digit=4, net=4
i=2016, digit=4, net=4
i=2017, digit=4, net=4
i=2018, digit=4, net=4
i=2019, digit=4, net=4
i=2020, digit=4, net=4
i=2021, digit=4, net=4
i=2022, digit=4, net=4
i=2023, digit=4, net=4
